Date_time,Time Diff,Reading,Average,ac,AC_Max,Current,
03_10__17_24_52,0.0,0.0,2.48,0.0,0.0,0.0,
03_10__17_24_52,0.01249,2.475,2.47975,0.004750000000000032,0.004750000000000032,0.0745085000000005,
03_10__17_24_52,0.004648,2.475,2.4795125000000002,0.004512500000000141,0.003750000000000032,0.0588225000000005,
03_10__17_24_52,0.004661,2.475,2.479286875,0.004286875000000023,0.004286875000000023,0.06724392125000037,
03_10__17_24_52,0.004507,2.475,2.47907253125,0.0040725312499998445,0.0032868750000000233,0.05155792125000037,
03_10__17_24_52,0.004497,2.475,2.4788689046875,0.0038689046874997857,0.0038689046874997857,0.06068763892812164,
03_10__17_24_52,0.004497,2.475,2.478675459453125,0.003675459453124752,0.0028689046874997856,0.04500163892812164,
03_10__17_24_52,0.004487,2.475,2.4784916864804685,0.003491686480468381,0.003491686480468381,0.054770594132627026,
03_10__17_24_52,0.004551,2.475,2.478317102156445,0.0033171021564450953,0.002491686480468381,0.03908459413262703,
03_10__17_24_52,0.004559,2.475,2.478151247048623,0.003151247048622796,0.003151247048622796,0.04943046120469718,
03_10__17_24_52,0.004521,2.475,2.477993684696192,0.0029936846961917674,0.002151247048622796,0.03374446120469718,
03_10__17_24_52,0.004497,2.475,2.477844000461382,0.0028440004613821124,0.0028440004613821124,0.044610991237239814,
03_10__17_24_52,0.004444,2.475,2.477701800438313,0.002701800438313029,0.0018440004613821124,0.028924991237239815,
03_10__17_24_52,0.004443,2.475,2.4775667104163976,0.002566710416397555,0.002566710416397555,0.04026141959161205,
03_10__17_24_52,0.004434,2.475,2.477438374895578,0.002438374895577855,0.0015667104163975551,0.02457541959161205,
03_10__17_24_52,0.004427,2.475,2.477316456150799,0.0023164561507988957,0.0023164561507988957,0.036335931181431476,
03_10__17_24_52,0.004429,2.475,2.477200633343259,0.0022006333432589287,0.0013164561507988956,0.020649931181431477,
03_10__17_24_52,0.00447,2.475,2.477090601676096,0.0020906016760959822,0.0020906016760959822,0.03279317789124158,
03_10__17_24_52,0.006867,2.475,2.4769860715922913,0.0019860715922912497,0.0010906016760959822,0.017107177891241578,
03_10__17_24_52,0.004552,2.475,2.476886768012677,0.0018867680126768427,0.0018867680126768427,0.029595843046848955,
