Date_time,Time Diff,Reading,Average,ac,AC_Max,Current,
03_10__17_30_22,0.0,0.0,2.475,0.0,0.0,0.0,
03_10__17_30_22,0.012514,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004537,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004545,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004496,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004512,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004487,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004498,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004503,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.005191,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004524,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004485,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004447,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004436,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_30_22,0.004433,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_30_23,0.004428,2.472,2.47485,0.002850000000000019,0.002850000000000019,0.0447051000000003,
03_10__17_30_23,0.004428,2.475,2.4748575,0.00014249999999993435,0.0018500000000000192,0.0290191000000003,
03_10__17_30_23,0.00443,2.475,2.4748646250000004,0.00013537499999971558,0.0008500000000000191,0.0133331000000003,
03_10__17_30_23,0.004429,2.475,2.4748713937500004,0.0001286062499996632,0,0.0,
03_10__17_30_23,0.004429,2.475,2.4748778240625002,0.00012217593749985767,0.00012217593749985767,0.0019164517556227673,
03_10__17_30_23,0.004431,2.475,2.4748839328593752,0.00011606714062484258,0,0.0,
03_10__17_30_23,0.004433,2.475,2.4748897362164066,0.00011026378359346722,0.00011026378359346722,0.001729597709447127,
03_10__17_30_23,0.004428,2.475,2.4748952494055865,0.00010475059441361623,0,0.0,
03_10__17_30_23,0.004431,2.475,2.474900486935307,9.951306469302423e-05,9.951306469302423e-05,0.001560961932774778,
03_10__17_30_23,0.004428,2.472,2.4747554625885417,0.002755462588541757,0.002755462588541757,0.043222186163866,
03_10__17_30_23,0.004429,2.475,2.4747676894591146,0.00023231054088546088,0.0017554625885417572,0.027536186163866,
03_10__17_30_23,0.004429,2.475,2.474779304986159,0.00022069501384125445,0.0007554625885417571,0.011850186163866003,
03_10__17_30_23,0.004429,2.475,2.4747903397368507,0.00020966026314939157,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4748008227500082,0.00019917724999185538,0.00019917724999185538,0.0031242943433722435,
03_10__17_30_23,0.004431,2.475,2.474810781612508,0.00018921838749230702,0,0.0,
03_10__17_30_23,0.004427,2.475,2.4748202425318824,0.00017975746811771387,0.00017975746811771387,0.0028196756448944597,
03_10__17_30_23,0.004428,2.475,2.4748292304052883,0.00017076959471173936,0,0.0,
03_10__17_30_23,0.004431,2.475,2.474837768885024,0.00016223111497604137,0.00016223111497604137,0.0025447572695141848,
03_10__17_30_23,0.004428,2.472,2.474695880440773,0.0026958804407728465,0.0026958804407728465,0.04228758059396287,
03_10__17_30_23,0.004429,2.475,2.474711086418734,0.00028891358126603706,0.0016958804407728465,0.026601580593962868,
03_10__17_30_23,0.00443,2.475,2.474725532097797,0.00027446790220286843,0.0006958804407728465,0.01091558059396287,
03_10__17_30_23,0.004431,2.475,2.4747392554929073,0.0002607445070927916,0,0.0,
03_10__17_30_23,0.004428,2.475,2.474752292718262,0.0002477072817379522,0.0002477072817379522,0.0038855364213415183,
03_10__17_30_23,0.00443,2.475,2.474764678082349,0.00023532191765118782,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4747764441782314,0.00022355582176869504,0.00022355582176869504,0.00350669662026375,
03_10__17_30_23,0.004428,2.475,2.4747876219693197,0.00021237803068041572,0,0.0,
03_10__17_30_23,0.004431,2.475,2.4747982408708538,0.00020175912914632832,0.00020175912914632832,0.003164793699789306,
03_10__17_30_23,0.004429,2.472,2.474658328827311,0.002658328827310985,0.002658328827310985,0.04169854598520011,
03_10__17_30_23,0.004429,2.475,2.4746754123859454,0.0003245876140547388,0.001658328827310985,0.02601254598520011,
03_10__17_30_23,0.004429,2.475,2.4746916417666482,0.0003083582333518464,0.000658328827310985,0.010326545985200112,
03_10__17_30_23,0.004429,2.475,2.474707059678316,0.00029294032168403206,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4747217066944,0.0002782933056000303,0.0002782933056000303,0.004365308791642075,
03_10__17_30_23,0.00443,2.475,2.47473562135968,0.0002643786403200288,0,0.0,
03_10__17_30_23,0.004426,2.475,2.474748840291696,0.0002511597083039163,0.0002511597083039163,0.003939691184455231,
03_10__17_30_23,0.00445,2.475,2.4747613982771113,0.00023860172288880932,0,0.0,
03_10__17_30_23,0.004466,2.475,2.4747733283632556,0.00022667163674450208,0.00022667163674450208,0.0035555712939742594,
03_10__17_30_23,0.004432,2.472,2.474634661945093,0.0026346619450929865,0.0026346619450929865,0.041327307270728586,
03_10__17_30_23,0.00443,2.475,2.4746529288478385,0.00034707115216159323,0.0016346619450929864,0.025641307270728584,
03_10__17_30_23,0.004431,2.475,2.4746702824054467,0.00032971759455335814,0.0006346619450929864,0.009955307270728585,
03_10__17_30_23,0.004429,2.475,2.4746867682851743,0.00031323171482577905,0,0.0,
03_10__17_30_23,0.004429,2.475,2.4747024298709155,0.0002975701290846011,0.0002975701290846011,0.0046676850448210535,
03_10__17_30_23,0.00443,2.475,2.47471730837737,0.0002826916226301712,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4747314429585012,0.0002685570414988625,0.0002685570414988625,0.004212585752951158,
03_10__17_30_23,0.004429,2.475,2.4747448708105764,0.00025512918942371954,0,0.0,
03_10__17_30_23,0.004431,2.475,2.4747576272700478,0.00024237272995231152,0.00024237272995231152,0.0038018586420319584,
03_10__17_30_23,0.00443,2.472,2.4746197459065455,0.0026197459065455675,0.0026197459065455675,0.04109333429007377,
03_10__17_30_23,0.004429,2.475,2.4746387586112184,0.00036124138878168566,0.0016197459065455675,0.02540733429007377,
03_10__17_30_23,0.004429,2.475,2.4746568206806576,0.00034317931934246815,0.0006197459065455675,0.00972133429007377,
03_10__17_30_23,0.004429,2.475,2.474673979646625,0.0003260203533752559,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4746902806642934,0.00030971933570667076,0.00030971933570667076,0.004858257499894838,
03_10__17_30_23,0.00443,2.475,2.4747057666310788,0.000294233368921315,0,0.0,
03_10__17_30_23,0.004428,2.475,2.474720478299525,0.00027952170047518266,0.00027952170047518266,0.004384577393653715,
03_10__17_30_23,0.004429,2.475,2.474734454384549,0.0002655456154512237,0,0.0,
03_10__17_30_23,0.00443,2.475,2.4747477316653215,0.0002522683346786181,0.0002522683346786181,0.003957081097768803,
03_10__17_30_23,0.00443,2.472,2.4746103450820556,0.0026103450820555985,0.0026103450820555985,0.04094587295712412,
03_10__17_30_23,0.004429,2.475,2.4746298278279526,0.0003701721720474893,0.0016103450820555984,0.025259872957124115,
03_10__17_30_23,0.004428,2.475,2.474648336436555,0.0003516635634452925,0.0006103450820555984,0.009573872957124117,
03_10__17_30_23,0.004429,2.475,2.474665919614727,0.0003340803852731611,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4746826236339907,0.0003173763660093698,0.0003173763660093698,0.004978365677222975,
03_10__17_30_23,0.004429,2.475,2.474698492452291,0.00030150754770907895,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4747135678296766,0.0002864321703235362,0.0002864321703235362,0.004492975023694988,
03_10__17_30_23,0.004429,2.475,2.4747278894381926,0.000272110561807537,0,0.0,
03_10__17_30_23,0.004431,2.475,2.474741494966283,0.00025850503371716016,0.00025850503371716016,0.004054909958887375,
03_10__17_30_23,0.004428,2.472,2.4746044202179687,0.002604420217968695,0.002604420217968695,0.040852935539056945,
03_10__17_30_23,0.004429,2.475,2.4746241992070703,0.0003758007929297591,0.0016044202179686948,0.025166935539056946,
03_10__17_30_23,0.004429,2.475,2.4746429892467168,0.00035701075328331555,0.0006044202179686948,0.009480935539056946,
03_10__17_30_23,0.004428,2.475,2.474660839784381,0.0003391602156193052,0,0.0,
03_10__17_30_23,0.004428,2.475,2.4746777977951617,0.00032220220483836215,0.00032220220483836215,0.0050540637850945485,
03_10__17_30_23,0.005938,2.475,2.4746939079054036,0.00030609209459653286,0,0.0,
03_10__17_30_23,0.004464,2.475,2.4747092125101333,0.00029078748986677283,0.00029078748986677283,0.004561292566050199,
03_10__17_30_23,0.004433,2.475,2.4747237518846266,0.000276248115373523,0,0.0,
03_10__17_30_23,0.004432,2.475,2.474737564290395,0.0002624357096050467,0.0002624357096050467,0.004116566540864762,
03_10__17_30_23,0.00443,2.475,2.4747506860758754,0.00024931392412463893,0,0.0,
03_10__17_30_23,0.004432,2.475,2.474763151772082,0.00023684822791825155,0.00023684822791825155,0.003715201303125694,
03_10__17_30_23,0.004431,2.478,2.474924994183478,0.0030750058165223138,0.0030750058165223138,0.04823454123796901,
03_10__17_30_23,0.004431,2.475,2.4749287444743038,7.12555256963121e-05,0.0020750058165223137,0.03254854123796901,
03_10__17_30_23,0.004425,2.475,2.4749323072505884,6.769274941165193e-05,0.0010750058165223137,0.016862541237969014,
03_10__17_30_23,0.004466,2.475,2.474935691888059,6.43081119409139e-05,7.500581652231369e-05,0.0011765412379690125,
03_10__17_30_23,0.004534,2.475,2.474938907293656,6.109270634402364e-05,0,0.0,
03_10__17_30_23,0.004541,2.475,2.474941961928973,5.803807102688907e-05,5.803807102688907e-05,0.0009103851821277819,
03_10__17_30_23,0.004564,2.475,2.4749448638325244,5.513616747565564e-05,0,0.0,
03_10__17_30_23,0.004494,2.475,2.474947620640898,5.23793591020727e-05,5.23793591020727e-05,0.0008216226268751123,
03_10__17_30_23,0.004497,2.475,2.474950239608853,4.9760391147124494e-05,0,0.0,
03_10__17_30_23,0.004489,2.475,2.4749527276284105,4.727237158963504e-05,4.727237158963504e-05,0.0007415144207550153,
03_10__17_30_23,0.004488,2.475,2.47495509124699,4.490875301010888e-05,0,0.0,
03_10__17_30_23,0.00449,2.475,2.4749573366846405,4.266331535962564e-05,4.266331535962564e-05,0.0006692167647310878,
03_10__17_30_23,0.004485,2.475,2.4749594698504085,4.053014959159995e-05,0,0.0,
03_10__17_30_23,0.004487,2.475,2.474961496357888,3.850364211199775e-05,3.850364211199775e-05,0.0006039681301687967,
03_10__17_30_23,0.004503,2.475,2.474963421539994,3.6578460006264635e-05,0,0.0,
03_10__17_30_23,0.004477,2.475,2.474965250462994,3.4749537006106834e-05,3.4749537006106834e-05,0.0005450812374777918,
03_10__17_30_23,0.004954,2.475,2.4749669879398444,3.3012060155712675e-05,0,0.0,
03_10__17_30_23,0.008043,2.475,2.474968638542852,3.136145714810468e-05,3.136145714810468e-05,0.00049193581682517,
03_10__17_30_23,0.004553,2.475,2.4749702066157093,2.9793384290766056e-05,0,0.0,
03_10__17_30_23,0.004554,2.475,2.474971696284924,2.830371507611673e-05,2.830371507611673e-05,0.000443972074683967,
03_10__17_30_23,0.004495,2.475,2.474973111470678,2.6888529322199872e-05,0,0.0,
03_10__17_30_23,0.004492,2.475,2.474974455897144,2.554410285604547e-05,2.554410285604547e-05,0.00040068479739992924,
03_10__17_30_23,0.00758,2.475,2.474975733102287,2.426689771306556e-05,0,0.0,
03_10__17_30_23,0.008097,2.475,2.4749769464471725,2.3053552827612123e-05,2.3053552827612123e-05,0.00036161802965392376,
03_10__17_30_23,0.008085,2.475,2.474978099124814,2.1900875186275925e-05,0,0.0,
03_10__17_30_23,0.00808,2.475,2.474979194168573,2.0805831427050947e-05,2.0805831427050947e-05,0.00032636027176472117,
03_10__17_30_23,0.008092,2.475,2.4749802344601446,1.976553985549856e-05,0,0.0,
03_10__17_30_23,0.00811,2.475,2.4749812227371373,1.877726286281245e-05,1.877726286281245e-05,0.00029454014526607606,
03_10__17_30_23,0.008093,2.475,2.4749821616002805,1.783839971958301e-05,0,0.0,
03_10__17_30_23,0.008093,2.475,2.4749830535202664,1.694647973371488e-05,1.694647973371488e-05,0.00026582248110305163,
03_10__17_30_23,0.008084,2.475,2.474983900844253,1.6099155747184568e-05,0,0.0,
03_10__17_30_23,0.008088,2.475,2.4749847058020404,1.5294197959647704e-05,1.5294197959647704e-05,0.00023990478919503388,
03_10__17_30_23,0.008087,2.475,2.4749854705119385,1.4529488061576501e-05,0,0.0,
03_10__17_30_23,0.008085,2.475,2.4749861969863414,1.380301365871972e-05,1.380301365871972e-05,0.00021651407225067754,
03_10__17_30_23,0.00809,2.478,2.4751368871370243,0.002863112862975914,0.002863112862975914,0.04491078836864019,
03_10__17_30_23,0.009717,2.475,2.4751300427801732,0.0001300427801731452,0.001863112862975914,0.029224788368640186,
03_10__17_30_23,0.00992,2.475,2.4751235406411647,0.00012354064116459895,0.0008631128629759139,0.013538788368640186,
03_10__17_30_23,0.009915,2.475,2.4751173636091064,0.00011736360910630239,0,0.0,
03_10__17_30_23,0.009913,2.475,2.475111495428651,0.00011149542865096507,0.00011149542865096507,0.0017489172938190381,
03_10__17_30_23,0.00991,2.475,2.4751059206572186,0.00010592065721848343,0,0.0,
03_10__17_30_23,0.00992,2.475,2.475100624624358,0.0001006246243577813,0.0001006246243577813,0.0015783978576761576,
03_10__17_30_23,0.009913,2.475,2.47509559339314,9.559339313991444e-05,0,0.0,
03_10__17_30_23,0.009913,2.475,2.475090813723483,9.081372348296313e-05,9.081372348296313e-05,0.0014245040665537595,
03_10__17_30_23,0.009913,2.475,2.475086273037309,8.627303730879277e-05,0,0.0,
03_10__17_30_23,0.009937,2.475,2.4750819593854434,8.195938544330872e-05,8.195938544330872e-05,0.0012856149200637405,
03_10__17_30_23,0.00998,2.475,2.475077861416171,7.786141617094344e-05,0,0.0,
03_10__17_30_23,0.009977,2.475,2.4750739683453626,7.39683453625517e-05,7.39683453625517e-05,0.001160267465356986,
03_10__17_30_23,0.00999,2.475,2.4750702699280946,7.026992809455734e-05,0,0.0,
03_10__17_30_23,0.009916,2.475,2.4750667564316897,6.675643168962964e-05,6.675643168962964e-05,0.0010471413874835304,
03_10__17_30_23,0.009964,2.475,2.4750634186101053,6.341861010517036e-05,0,0.0,
03_10__17_30_23,0.009927,2.475,2.4750602476796,6.0247679599889636e-05,6.0247679599889636e-05,0.0009450451022038688,
03_10__17_30_23,0.00993,2.475,2.47505723529562,5.7235295619850746e-05,0,0.0,
03_10__17_30_23,0.009954,2.475,2.475054373530839,5.437353083870278e-05,5.437353083870278e-05,0.0008529032047358918,
03_10__17_30_23,0.010064,2.475,2.4750516548542967,5.165485429659e-05,0,0.0,
03_10__17_30_23,0.010046,2.475,2.475049072111582,4.907211158178271e-05,4.907211158178271e-05,0.0007697451422718436,
03_10__17_30_23,0.008815,2.475,2.4750466185060027,4.661850600262696e-05,0,0.0,
03_10__17_30_23,0.008209,2.475,2.4750442875807024,4.428758070229577e-05,4.428758070229577e-05,0.0006946949908962115,
03_10__17_30_23,0.008264,2.475,2.475042073201667,4.2073201667047755e-05,0,0.0,
03_10__17_30_23,0.008234,2.475,2.4750399695415837,3.9969541583584345e-05,3.9969541583584345e-05,0.000626962229280104,
03_10__17_30_23,0.0082,2.475,2.4750379710645043,3.797106450420529e-05,0,0.0,
03_10__17_30_23,0.008136,2.475,2.475036072511279,3.6072511278906205e-05,3.6072511278906205e-05,0.0005658334119209227,
03_10__17_30_23,0.008088,2.475,2.475034268885715,3.426888571489428e-05,0,0.0,
03_10__17_30_23,0.008096,2.475,2.4750325554414294,3.25554414293272e-05,3.25554414293272e-05,0.0005106646542604265,
03_10__17_30_23,0.008103,2.475,2.475030927669358,3.0927669357971865e-05,0,0.0,
03_10__17_30_23,0.008085,2.475,2.47502938128589,2.9381285890028863e-05,2.9381285890028863e-05,0.00046087485047099274,
03_10__17_30_23,0.008086,2.475,2.4750279122215955,2.791222159537199e-05,0,0.0,
03_10__17_30_23,0.008077,2.475,2.475026516610516,2.6516610515781025e-05,2.6516610515781025e-05,0.0004159395525505412,
03_10__17_30_23,0.008081,2.475,2.47502519077999,2.519077998996977e-05,0,0.0,
03_10__17_30_23,0.008144,2.475,2.4750239312409907,2.3931240990648917e-05,2.3931240990648917e-05,0.0003753854461793189,
03_10__17_30_23,0.012316,2.475,2.4750227346789413,2.273467894120529e-05,0,0.0,
03_10__17_30_23,0.008257,2.475,2.4750215979449943,2.1597944994233842e-05,2.1597944994233842e-05,0.00033878536517955205,
03_10__17_30_23,0.00828,2.475,2.4750205180477445,2.0518047744388923e-05,0,0.0,
03_10__17_30_23,0.008224,2.475,2.4750194921453574,1.9492145357347113e-05,1.9492145357347113e-05,0.0003057537920753468,
03_10__17_30_23,0.008215,2.475,2.4750185175380897,1.8517538089568575e-05,0,0.0,
