Date_time,Time Diff,Reading,Average,ac,AC_Max,Current,
03_10__17_28_39,0.0,0.0,2.475,0.0,0.0,0.0,
03_10__17_28_39,0.012183,2.475,2.475,0.0,0,0.0,
03_10__17_28_39,0.006003,2.475,2.475,0.0,0,0.0,
03_10__17_28_39,0.004464,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004438,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004441,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006318,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004556,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004456,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004448,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004442,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004446,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004454,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004422,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004474,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004519,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004533,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004573,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00455,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004476,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00448,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004481,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004487,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004484,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004484,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004482,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004517,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004505,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004422,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004462,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004459,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004433,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004461,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004433,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00447,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004465,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00448,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004432,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004466,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004433,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004432,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004477,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.005994,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006256,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006253,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006255,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006251,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006253,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006253,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006259,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006255,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006253,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006252,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006254,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006251,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006254,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006274,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.006294,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.008902,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009912,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009908,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009906,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00991,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009909,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009905,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009906,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009902,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009898,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009903,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.009945,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010043,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010161,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.01015,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.01001,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010001,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010003,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010013,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.010004,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.007735,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004484,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004484,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004478,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004499,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004512,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004473,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00446,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004428,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004436,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004444,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004431,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004426,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004423,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004425,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004424,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004429,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004427,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004438,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004629,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004488,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004433,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004434,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.00443,2.475,2.475,0.0,0,0.0,
03_10__17_28_40,0.004432,2.475,2.475,0.0,0,0.0,
