Time,Count,Reading,Average,Ac Average,Time,Time Diff,
10/03/2020 12:15:50,1,0.0,2.5,0.0,03_10__12_15_41,0.0,
10/03/2020 12:15:50,1,2.385,2.49425,0.005462500000000015,03_10__12_15_41,0.012277,
10/03/2020 12:15:50,1,3.276,2.5333375,0.042322500000000006,03_10__12_15_41,0.004545,
10/03/2020 12:15:50,1,2.811,2.547220625,0.053395343750000004,03_10__12_15_41,0.004477,
10/03/2020 12:15:51,1,1.782,2.50895959375,0.08707355625000002,03_10__12_15_41,0.004439,
10/03/2020 12:15:52,1,1.914,2.4792116140625002,0.11098045914062503,03_10__12_15_41,0.004492,
10/03/2020 12:15:52,1,3.0,2.505251033359375,0.13016888451562503,03_10__12_15_41,0.004527,
10/03/2020 12:15:52,1,3.216,2.5407884816914064,0.15742101620527346,03_10__12_15_41,0.004516,
10/03/2020 12:15:52,1,2.175,2.522499057606836,0.1669249182753516,03_10__12_15_41,0.004516,
10/03/2020 12:15:52,1,1.662,2.4794741047264943,0.19945237759790874,03_10__12_15_41,0.004511,
10/03/2020 12:15:52,1,2.523,2.4816503994901695,0.19154723874350482,03_10__12_15_41,0.004602,
10/03/2020 12:15:52,1,3.3,2.522567879515661,0.2208414828305465,03_10__12_15_41,0.004505,
10/03/2020 12:15:52,1,2.682,2.530539485539878,0.21737243441202525,03_10__12_15_41,0.00444,
10/03/2020 12:15:52,1,1.725,2.4902625112628844,0.24476693825456822,03_10__12_15_41,0.004466,
10/03/2020 12:15:52,1,2.031,2.4672993856997403,0.25434356062682684,03_10__12_15_41,0.004475,
10/03/2020 12:15:52,1,3.087,2.4982844164147533,0.27106216177474785,03_10__12_15_41,0.004442,
10/03/2020 12:15:52,1,3.144,2.5305701955940156,0.28818054390630965,03_10__12_15_41,0.004435,
10/03/2020 12:15:52,1,2.094,2.508741685814315,0.2945086010017099,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,1.665,2.466554601523599,0.31986090102780435,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,2.571,2.471776871447419,0.3088290124040432,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,3.3,2.513188027875048,0.3327281603900886,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,2.691,2.5220786264812958,0.3245378210465194,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,1.728,2.482374695157231,0.346029664752055,03_10__12_15_41,0.004469,
10/03/2020 12:15:52,1,2.022,2.4593559603993693,0.35059597953442073,03_10__12_15_41,0.00446,
10/03/2020 12:15:52,1,3.078,2.4902881623794006,0.36245177243872967,03_10__12_15_41,0.004436,
10/03/2020 12:15:52,1,3.156,2.523573754260431,0.3759504961037716,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,2.106,2.5026950665474095,0.37698772462595354,03_10__12_15_41,0.004435,
10/03/2020 12:15:52,1,1.665,2.460810313220039,0.3979288540556578,03_10__12_15_41,0.004435,
10/03/2020 12:15:52,1,2.556,2.4655697975590374,0.38255392147492306,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,3.297,2.5071413076810853,0.40291916001712264,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,2.703,2.516934242297031,0.39207648990141497,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,1.731,2.477637530182179,0.4098045419154532,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,1.998,2.4536556536730703,0.412097097503334,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,3.057,2.4838228709894166,0.42015109907869647,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,3.177,2.5184817274399456,0.43206945775276434,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,2.136,2.4993576410679483,0.4286338669185235,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,1.662,2.457489759014551,0.4469766615233249,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,2.523,2.4607652710638233,0.42773956489396747,03_10__12_15_41,0.004437,
10/03/2020 12:15:52,1,3.297,2.502577007510632,0.4460737362737375,03_10__12_15_41,0.004436,
10/03/2020 12:15:52,1,2.733,2.5140981571351007,0.43471514160329555,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,1.746,2.4756932492783457,0.44946404698704806,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,1.971,2.4504585868144284,0.4509637739784171,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,3.033,2.479585657473707,0.4560863024058109,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,3.198,2.515506374600022,0.46740666855551927,03_10__12_15_41,0.004433,
10/03/2020 12:15:52,1,2.166,2.4980310558700207,0.4606378879212443,03_10__12_15_41,0.004431,
10/03/2020 12:15:52,1,1.659,2.45607950307652,0.4774599686790081,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,2.487,2.4576255279226937,0.45505569384892297,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,3.291,2.499294251526559,0.47188819658014886,03_10__12_15_41,0.004431,
10/03/2020 12:15:52,1,2.766,2.512629538950231,0.46096230980362984,03_10__12_15_41,0.004435,
10/03/2020 12:15:52,1,1.758,2.4748980620027194,0.47375909741358435,03_10__12_15_41,0.004434,
10/03/2020 12:15:52,1,1.947,2.4485031589025836,0.4751463004880343,03_10__12_15_41,0.004432,
10/03/2020 12:15:52,1,3.012,2.4766780009574543,0.47815508541575985,03_10__12_15_41,0.004446,
10/03/2020 12:15:52,1,3.216,2.5136441009095813,0.4893651260994928,03_10__12_15_41,0.004631,
