Time,Count,Reading,Average,ac,Ac Average,AC_Max,Time,Time Diff,
10/03/2020 15:25:29,1,0.0,2.5,0.0,0.0,0.0,03_10__15_25_21,0.0,
10/03/2020 15:25:29,1,2.994,2.5247,0.46930000000000005,0.023465000000000003,0.46930000000000005,03_10__15_25_21,0.012255,
10/03/2020 15:25:29,1,1.917,2.4943150000000003,0.5773150000000002,0.05115750000000002,0.5773150000000002,03_10__15_25_21,0.004538,
10/03/2020 15:25:29,1,1.782,2.4586992500000004,0.6766992500000004,0.08243458750000004,0.6766992500000004,03_10__15_25_21,0.004474,
10/03/2020 15:25:29,1,2.817,2.4766142875000003,0.3403857124999998,0.09533214375000004,0.6746992500000004,03_10__15_25_21,0.004443,
10/03/2020 15:25:29,1,3.288,2.5171835731250005,0.7708164268749993,0.12910635790625,0.7708164268749993,03_10__15_25_21,0.004447,
10/03/2020 15:25:29,1,2.427,2.5126743944687506,0.08567439446875058,0.126934759734375,0.7688164268749993,03_10__15_25_21,0.004432,
10/03/2020 15:25:29,1,1.668,2.470440674745313,0.802440674745313,0.1607100554849219,0.802440674745313,03_10__15_25_21,0.00443,
10/03/2020 15:25:29,1,2.229,2.458368641008047,0.2293686410080471,0.16414298476107816,0.800440674745313,03_10__15_25_21,0.004445,
10/03/2020 15:25:29,1,3.213,2.4961002089576447,0.7168997910423553,0.19178082507514202,0.798440674745313,03_10__15_25_21,0.004498,
10/03/2020 15:25:29,1,2.955,2.5190451985097626,0.43595480149023746,0.2039895238958968,0.796440674745313,03_10__15_25_21,0.004625,
10/03/2020 15:25:29,1,1.869,2.4865429385842743,0.6175429385842743,0.22466719463031568,0.794440674745313,03_10__15_25_21,0.004516,
10/03/2020 15:25:29,1,1.839,2.4541657916550608,0.6151657916550608,0.24419212448155292,0.792440674745313,03_10__15_25_21,0.004507,
10/03/2020 15:25:29,1,2.895,2.4762075020723078,0.41879249792769224,0.25292214315385986,0.790440674745313,03_10__15_25_21,0.004436,
10/03/2020 15:25:29,1,3.276,2.5161971269686925,0.7598028730313073,0.27826617964773226,0.788440674745313,03_10__15_25_21,0.004436,
10/03/2020 15:25:29,1,2.346,2.507687270620258,0.1616872706202579,0.27243723419635857,0.786440674745313,03_10__15_25_21,0.004429,
10/03/2020 15:25:29,1,1.662,2.465402907089245,0.8034029070892452,0.2989855178410029,0.8034029070892452,03_10__15_25_21,0.00443,
10/03/2020 15:25:29,1,2.301,2.457182761734783,0.15618276173478263,0.2918453800356919,0.8014029070892452,03_10__15_25_21,0.004427,
10/03/2020 15:25:29,1,3.237,2.4961736236480436,0.7408263763519565,0.31429442985150513,0.7994029070892452,03_10__15_25_21,0.004431,
10/03/2020 15:25:29,1,2.916,2.5171649424656413,0.39883505753435866,0.3185214612356478,0.7974029070892452,03_10__15_25_21,0.00443,
10/03/2020 15:25:29,1,1.869,2.484756695342359,0.6157566953423592,0.3333832229409834,0.7954029070892452,03_10__15_25_21,0.004428,
10/03/2020 15:25:29,1,1.818,2.451418860575241,0.6334188605752411,0.34838500482269624,0.7934029070892452,03_10__15_25_21,0.004429,
10/03/2020 15:25:29,1,2.859,2.4717979175464793,0.3872020824535207,0.3503258587042375,0.7914029070892452,03_10__15_25_21,0.00443,
10/03/2020 15:25:29,1,3.285,2.5124580216691554,0.7725419783308447,0.37143666468556785,0.7894029070892452,03_10__15_25_21,0.004434,
10/03/2020 15:25:29,1,2.385,2.5060851205856975,0.12108512058569776,0.35891908748057433,0.7874029070892452,03_10__15_25_21,0.004435,
10/03/2020 15:25:29,1,1.665,2.464030864556413,0.7990308645564128,0.3809246763343663,0.7990308645564128,03_10__15_25_21,0.004432,
10/03/2020 15:25:29,1,2.268,2.4542293213285924,0.1862293213285926,0.3711899085840776,0.7970308645564128,03_10__15_25_21,0.004434,
10/03/2020 15:25:29,1,3.225,2.4927678552621626,0.7322321447378375,0.3892420203917656,0.7950308645564128,03_10__15_25_21,0.004441,
10/03/2020 15:25:29,1,2.94,2.5151294624990546,0.4248705375009454,0.39102344624722457,0.7930308645564128,03_10__15_25_21,0.004443,
10/03/2020 15:25:29,1,1.887,2.483722989374102,0.596722989374102,0.4013084234035684,0.7910308645564128,03_10__15_25_21,0.004435,
10/03/2020 15:25:29,1,1.797,2.449386839905397,0.6523868399053969,0.41386234422865986,0.7890308645564128,03_10__15_25_21,0.004434,
10/03/2020 15:25:29,1,2.838,2.468817497910127,0.36918250208987313,0.41162835212172055,0.7870308645564128,03_10__15_25_21,0.004434,
10/03/2020 15:25:29,1,3.288,2.509776623014621,0.778223376985379,0.4299581033649035,0.7850308645564128,03_10__15_25_21,0.004428,
10/03/2020 15:25:29,1,2.415,2.5050377918638898,0.09003779186388972,0.41296208778985277,0.7830308645564128,03_10__15_25_21,0.00443,
10/03/2020 15:25:29,1,1.665,2.463035902270695,0.7980359022706951,0.43221577851389487,0.7980359022706951,03_10__15_25_21,0.004438,
10/03/2020 15:25:29,1,2.241,2.4519341071571605,0.21093410715716043,0.42115169494605814,0.7960359022706951,03_10__15_25_21,0.004433,
10/03/2020 15:25:29,1,3.216,2.4901374017993025,0.7258625982006977,0.4363872401087901,0.7940359022706951,03_10__15_25_21,0.004435,
10/03/2020 15:25:29,1,2.964,2.5138305317093375,0.4501694682906625,0.4370763515178837,0.7920359022706951,03_10__15_25_21,0.004428,
10/03/2020 15:25:29,1,1.908,2.4835390051238706,0.5755390051238707,0.4439994841981831,0.7900359022706951,03_10__15_25_21,0.004431,
